grupo_consolidacion_id,locations_count,masters_count,criterio_agrupacion,confianza,requiere_revision,taxids_unicos,dominios_unicos,orders_total,codigos_logisticos_total,distribuidores_max
CORP_0286,4,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0287,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0288,6,1,DOMINIO_CORPORATIVO,BAJA,True,3,1,65,3,2
CORP_0289,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0290,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0291,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0292,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0293,2,1,DOMINIO_CORPORATIVO,BAJA,True,2,1,14,6,4
CORP_0294,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,22,3,2
CORP_0295,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0296,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0297,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,1,1
CORP_0298,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,0,0,0
CORP_0299,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,2,1,1
CORP_0300,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,1,1,1
CORP_0301,2,1,DOMINIO_CORPORATIVO,MEDIA,True,1,1,3,1,1
